PartieId;Seed;NumCoup;Joueur;Action;Detail;PhaseAvant;PhaseApres;TaillePileAvant;TaillePileApres
1;1035191123;1;Toi(P0);Joue;Three♥;Travail;Travail;0;1
1;1035191123;2;Bot1;Joue;Five♠;Travail;Travail;1;2
1;1035191123;3;Bot2;Joue;Cavalier♠;Travail;Travail;2;3
1;1035191123;4;Bot3;Joue;Roi♥;Travail;Travail;3;4
1;1035191123;6;Bot1;Joue;Six♥;Travail;Travail;0;1
1;1035191123;7;Bot2;Joue;As♦;Travail;Travail;1;2
1;1035191123;8;Bot3;Joue;2♠;Travail;Travail;2;0
1;1035191123;9;Bot3;Joue;Three♣;Travail;Travail;0;1
1;1035191123;10;Toi(P0);Joue;Three♥;Travail;Travail;1;2
1;1035191123;11;Bot2;Joue;Ten♦;Travail;Travail;2;3
1;1035191123;12;Bot3;Joue;Dame♥;Travail;Travail;3;4
1;1035191123;13;Toi(P0);Joue;Roi♥;Travail;Travail;4;5
1;1035191123;14;Bot1;Joue;Roi♦;Travail;Travail;5;6
1;1035191123;15;Bot3;Joue;Joker(Color);Travail;Travail;6;0
1;1035191123;16;Toi(P0);Joue;Five♠;Travail;Travail;0;1
1;1035191123;17;Bot1;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;18;Toi(P0);Joue;Valet♦;Travail;Travail;2;3
1;1035191123;20;Bot1;Joue;Ten♣;Travail;Travail;0;1
1;1035191123;21;Toi(P0);Joue;Prêtre♥;Travail;Travail;1;2
1;1035191123;22;Bot3;Joue;Prêtre♠;Travail;Travail;2;3
1;1035191123;23;Bot1;Joue;Five♣;Travail;Travail;3;4
1;1035191123;24;Toi(P0);Joue;Nine♦;Travail;Travail;4;5
1;1035191123;25;Bot3;Joue;Prêtre♦;Travail;Travail;5;6
1;1035191123;26;Bot2;Joue;Six♣;Travail;Travail;6;7
1;1035191123;27;Bot1;Joue;Valet♣;Travail;Travail;7;8
1;1035191123;28;Bot2;Joue;Valet♦;Travail;Travail;8;9
1;1035191123;29;Toi(P0);Joue;Cavalier♠;Travail;Travail;9;10
1;1035191123;30;Bot1;Joue;Cavalier♥;Travail;Travail;10;11
1;1035191123;32;Toi(P0);Joue;Six♠;Travail;Travail;0;1
1;1035191123;33;Bot1;Joue;Ten♠;Travail;Travail;1;2
1;1035191123;34;Bot2;Joue;Valet♠;Travail;Travail;2;3
1;1035191123;36;Toi(P0);Joue;Four♦;Travail;Travail;0;1
1;1035191123;37;Bot3;Joue;Eight♥;Travail;Travail;1;2
1;1035191123;39;Bot1;Joue;Seven♣;Travail;Travail;0;1
1;1035191123;40;Toi(P0);Joue;Prêtre♣;Travail;Travail;1;2
1;1035191123;41;Bot3;Joue;Seven♠;Travail;Travail;2;3
1;1035191123;42;Bot2;Joue;Eight♥;Travail;Travail;3;4
1;1035191123;43;Bot1;Joue;Valet♠;Travail;Travail;4;5
1;1035191123;45;Bot3;Joue;Six♦;Travail;Travail;0;1
1;1035191123;46;Toi(P0);Joue;2♦;Travail;Travail;1;0
1;1035191123;47;Toi(P0);Joue;Cavalier♦;Travail;Travail;0;1
1;1035191123;49;Bot2;Joue;Valet♠;Travail;Travail;0;1
1;1035191123;50;Bot1;Joue;Cavalier♦;Travail;Travail;1;2
1;1035191123;51;Toi(P0);Joue;Cavalier♣;Travail;Travail;2;3
1;1035191123;53;Bot1;Joue;Ten♠;Travail;Travail;0;1
1;1035191123;54;Toi(P0);Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;55;Bot3;Joue;Prêtre♦;Travail;Travail;2;3
1;1035191123;56;Bot2;Joue;Seven♣;Travail;Travail;3;4
1;1035191123;58;Toi(P0);Joue;Dame♠;Travail;Travail;0;1
1;1035191123;60;Bot2;Joue;Prêtre♣;Travail;Travail;0;1
1;1035191123;61;Bot1;Joue;Five♦;Travail;Travail;1;2
1;1035191123;62;Toi(P0);Joue;Dame♣;Travail;Travail;2;3
1;1035191123;63;Bot3;Joue;Dame♠;Travail;Travail;3;4
1;1035191123;64;Bot1;Joue;Joker(Glass);Travail;Travail;4;5
1;1035191123;65;Toi(P0);Joue;As♠;Travail;Travail;5;6
1;1035191123;67;Bot2;Joue;Cavalier♣;Travail;Travail;0;1
1;1035191123;70;Bot2;Joue;Three♠;Travail;Travail;0;1
1;1035191123;71;Bot1;Joue;Seven♣;Travail;Travail;1;2
1;1035191123;72;Toi(P0);Joue;Eight♠;Travail;Travail;2;3
1;1035191123;73;Bot3;Joue;Dame♣;Travail;Travail;3;4
1;1035191123;75;Bot1;Joue;Ten♠;Travail;Travail;0;1
1;1035191123;76;Toi(P0);Joue;Four♣;Travail;Travail;0;1
1;1035191123;77;Bot2;Joue;Four♦;Travail;Travail;1;2
1;1035191123;78;Toi(P0);Joue;Ten♠;Travail;Travail;2;3
1;1035191123;79;Bot3;Joue;Cavalier♥;Travail;Travail;3;4
1;1035191123;80;Bot2;Joue;Dame♣;Travail;Travail;4;5
1;1035191123;83;Bot2;Joue;Seven♣;Travail;Travail;0;1
1;1035191123;84;Bot1;Joue;Prêtre♦;Travail;Travail;1;2
1;1035191123;86;Bot3;Joue;Prêtre♥;Travail;Travail;0;1
1;1035191123;87;Bot2;Joue;Five♥;Travail;Travail;1;2
1;1035191123;88;Bot1;Joue;Dame♣;Travail;Travail;2;3
1;1035191123;89;Toi(P0);Joue;2♣;Travail;Travail;3;0
1;1035191123;90;Toi(P0);Joue;Seven♣;Travail;Travail;0;1
1;1035191123;91;Bot3;Joue;As♠;Travail;Travail;1;2
1;1035191123;93;Bot1;Joue;Four♣;Travail;Travail;0;1
1;1035191123;94;Toi(P0);Joue;Prêtre♦;Travail;Travail;1;2
1;1035191123;95;Bot3;Joue;Prêtre♠;Travail;Travail;2;3
1;1035191123;96;Bot1;Joue;Four♦;Travail;Travail;3;4
1;1035191123;98;Bot3;Joue;Six♣;Travail;Travail;0;1
1;1035191123;99;Bot2;Joue;Eight♥;Travail;Travail;1;2
1;1035191123;100;Bot1;Joue;Ten♠;Travail;Travail;2;3
1;1035191123;101;Bot3;Joue;Joker(Glass);Travail;Travail;3;4
1;1035191123;102;Bot2;Joue;As♠;Travail;Travail;4;5
1;1035191123;104;Bot3;Joue;Ten♣;Travail;Travail;0;1
1;1035191123;105;Bot2;Joue;Valet♠;Travail;Travail;1;2
1;1035191123;106;Bot3;Joue;Cavalier♠;Travail;Travail;2;3
1;1035191123;107;Bot1;Joue;Cavalier♥;Travail;Travail;3;4
1;1035191123;108;Bot3;Joue;Dame♠;Travail;Travail;4;5
1;1035191123;109;Bot1;Joue;As♠;Travail;Travail;5;6
1;1035191123;111;Bot3;Joue;Five♦;Travail;Travail;0;1
1;1035191123;112;Bot1;Joue;Six♠;Travail;Travail;1;2
1;1035191123;113;Bot2;Joue;Eight♠;Travail;Travail;2;3
1;1035191123;114;Bot3;Joue;Prêtre♣;Travail;Travail;3;4
1;1035191123;115;Bot1;Joue;Joker(Glass);Travail;Travail;4;5
1;1035191123;116;Bot2;Joue;Five♠;Travail;Travail;5;6
1;1035191123;117;Bot3;Joue;Valet♦;Travail;Travail;6;7
1;1035191123;118;Bot2;Joue;As♠;Travail;Travail;7;8
1;1035191123;120;Bot3;Joue;Nine♦;Travail;Travail;0;1
1;1035191123;121;Bot2;Joue;Cavalier♠;Travail;Travail;1;2
1;1035191123;122;Bot1;Joue;As♠;Travail;Travail;2;3
1;1035191123;124;Bot2;Joue;Cavalier♥;Travail;Travail;0;1
1;1035191123;125;Bot1;Joue;Joker(Glass);Travail;Travail;1;2
1;1035191123;126;Bot3;Joue;As♠;Travail;Travail;2;3
1;1035191123;128;Bot1;Joue;Eight♠;Travail;Travail;0;1
1;1035191123;129;Bot3;Joue;Valet♣;Travail;Travail;1;2
1;1035191123;130;Bot1;Joue;Cavalier♣;Travail;Travail;2;3
